ISO-3166-1;ISO-3166-2;Name1;Name2;Wikipedia;Type
AD;07;"Andorra la Vella";"Andorra la Vella";https://en.wikipedia.org/wiki/Andorra_la_Vella;parishes
AD;02;Canillo;Canillo;https://en.wikipedia.org/wiki/Canillo;parishes
AD;03;Encamp;Encamp;https://en.wikipedia.org/wiki/Encamp;parishes
AD;08;Escaldes-Engordany;Escaldes-Engordany;https://en.wikipedia.org/wiki/Escaldes-Engordany;parishes
AD;04;"La Massana";"La Massana";https://en.wikipedia.org/wiki/La_Massana;parishes
AD;05;Ordino;Ordino;https://en.wikipedia.org/wiki/Ordino;parishes
AD;06;"Sant Julià de Lòria";"Sant Julià de Lòria";https://en.wikipedia.org/wiki/Sant_Juli%C3%A0_de_L%C3%B2ria;parishes
AE;AZ;"Abu Dhabi (emirate)";"Abū Z̧aby";https://en.wikipedia.org/wiki/Abu_Dhabi_(emirate);emirates
AE;AJ;Ajman;‘Ajmān;https://en.wikipedia.org/wiki/Ajman;emirates
AE;FU;Fujairah;"Al Fujayrah";https://en.wikipedia.org/wiki/Fujairah;emirates
AE;SH;"Sharjah (emirate)";"Ash Shāriqah";https://en.wikipedia.org/wiki/Sharjah_(emirate);emirates
AE;DU;Dubai;Dubayy;https://en.wikipedia.org/wiki/Dubai;emirates
AE;RK;"Ras al-Khaimah";"Ra’s al Khaymah";https://en.wikipedia.org/wiki/Ras_al-Khaimah;emirates
AE;UQ;"Umm al-Quwain";"Umm al Qaywayn";https://en.wikipedia.org/wiki/Umm_al-Quwain;emirates
AF;BDS;"Badakhshān Province";Badakhshān;https://en.wikipedia.org/wiki/Badakhsh%C4%81n_Province;provinces
AF;BDG;"Bādghīs Province";Bādghīs;https://en.wikipedia.org/wiki/B%C4%81dgh%C4%ABs_Province;provinces
AF;BGL;"Baghlān Province";Baghlān;https://en.wikipedia.org/wiki/Baghl%C4%81n_Province;provinces
AF;BAL;"Balkh Province";Balkh;https://en.wikipedia.org/wiki/Balkh_Province;provinces
AF;BAM;"Bamyan Province";Bāmyān;https://en.wikipedia.org/wiki/Bamyan_Province;provinces
AF;DAY;"Dāykondī Province";Dāykundī;https://en.wikipedia.org/wiki/D%C4%81ykond%C4%AB_Province;provinces
AF;FRA;"Farāh Province";Farāh;https://en.wikipedia.org/wiki/Far%C4%81h_Province;provinces
AF;FYB;"Fāryāb Province";Fāryāb;https://en.wikipedia.org/wiki/F%C4%81ry%C4%81b_Province;provinces
AF;GHA;"Ghaznī Province";Ghaznī;https://en.wikipedia.org/wiki/Ghazn%C4%AB_Province;provinces
AF;GHO;"Ghowr Province";Ghōr;https://en.wikipedia.org/wiki/Ghowr_Province;provinces
AF;HEL;"Helmand Province";Helmand;https://en.wikipedia.org/wiki/Helmand_Province;provinces
AF;HER;"Herāt Province";Herāt;https://en.wikipedia.org/wiki/Her%C4%81t_Province;provinces
AF;JOW;"Jowzjān Province";Jowzjān;https://en.wikipedia.org/wiki/Jowzj%C4%81n_Province;provinces
AF;KAB;"Kābul Province";Kābul;https://en.wikipedia.org/wiki/K%C4%81bul_Province;provinces
AF;KAN;"Kandahār Province";Kandahār;https://en.wikipedia.org/wiki/Kandah%C4%81r_Province;provinces
AF;KAP;"Kāpīsā Province";Kāpīsā;https://en.wikipedia.org/wiki/K%C4%81p%C4%ABs%C4%81_Province;provinces
AF;KHO;"Khowst Province";Khōst;https://en.wikipedia.org/wiki/Khowst_Province;provinces
AF;KNR;"Konar Province";Kunaṟ;https://en.wikipedia.org/wiki/Konar_Province;provinces
AF;KDZ;"Kondoz Province";Kunduz;https://en.wikipedia.org/wiki/Kondoz_Province;provinces
AF;LAG;"Laghmān Province";Laghmān;https://en.wikipedia.org/wiki/Laghm%C4%81n_Province;provinces
AF;LOG;"Logar Province";Lōgar;https://en.wikipedia.org/wiki/Logar_Province;provinces
AF;NAN;"Nangarhār Province";Nangarhār;https://en.wikipedia.org/wiki/Nangarh%C4%81r_Province;provinces
AF;NIM;"Nimroz Province";Nīmrōz;https://en.wikipedia.org/wiki/Nimroz_Province;provinces
AF;NUR;"Nuristan Province";Nūristān;https://en.wikipedia.org/wiki/Nuristan_Province;provinces
AF;PKA;"Paktīkā Province";Paktīkā;https://en.wikipedia.org/wiki/Pakt%C4%ABk%C4%81_Province;provinces
AF;PIA;"Paktiya Province";Paktiyā;https://en.wikipedia.org/wiki/Paktiya_Province;provinces
AF;PAN;"Panjshir Province";Panjshayr;https://en.wikipedia.org/wiki/Panjshir_Province;provinces
AF;PAR;"Parwān Province";Parwān;https://en.wikipedia.org/wiki/Parw%C4%81n_Province;provinces
AF;SAM;"Samangān Province";Samangān;https://en.wikipedia.org/wiki/Samang%C4%81n_Province;provinces
AF;SAR;"Sar-e Pul Province";"Sar-e Pul";https://en.wikipedia.org/wiki/Sar-e_Pul_Province;provinces
AF;TAK;"Takhār Province";Takhār;https://en.wikipedia.org/wiki/Takh%C4%81r_Province;provinces
AF;URU;"Uruzgan Province";Uruzgān;https://en.wikipedia.org/wiki/Uruzgan_Province;provinces
AF;WAR;"Wardak Province";Wardak;https://en.wikipedia.org/wiki/Wardak_Province;provinces
AF;ZAB;"Zābul Province";Zābul;https://en.wikipedia.org/wiki/Z%C4%81bul_Province;provinces
AG;03;"Saint George Parish (Antigua and Barbuda)";"Saint George";https://en.wikipedia.org/wiki/Saint_George_Parish_(Antigua_and_Barbuda);parish
AG;04;"Saint John Parish (Antigua and Barbuda)";"Saint John";https://en.wikipedia.org/wiki/Saint_John_Parish_(Antigua_and_Barbuda);parish
AG;05;"Saint Mary Parish (Antigua and Barbuda)";"Saint Mary";https://en.wikipedia.org/wiki/Saint_Mary_Parish_(Antigua_and_Barbuda);parish
AG;06;"Saint Paul Parish (Antigua and Barbuda)";"Saint Paul";https://en.wikipedia.org/wiki/Saint_Paul_Parish_(Antigua_and_Barbuda);parish
AG;07;"Saint Peter Parish (Antigua and Barbuda)";"Saint Peter";https://en.wikipedia.org/wiki/Saint_Peter_Parish_(Antigua_and_Barbuda);parish
AG;08;"Saint Philip Parish (Antigua and Barbuda)";"Saint Philip";https://en.wikipedia.org/wiki/Saint_Philip_Parish_(Antigua_and_Barbuda);parish
AG;10;Barbuda;Barbuda;https://en.wikipedia.org/wiki/Barbuda;dependency
AG;11;Redonda;Redonda;https://en.wikipedia.org/wiki/Redonda;dependency
